name,x1,y1,x2,y2
R91,94.98499,-73.60375,141.13126,85.04749
C31,128.08624,-63.56625,141.13126,85.04749
I-Q13,128.08624,-63.56625,141.13126,85.04749
C22,140.88126,-1.3399963,141.13126,85.04749
D5,134.47998,1.2662506,141.13126,85.04749
C21,120.6475,4.965004,141.13126,85.04749
R45,105.21751,-20.36126,141.13126,85.04749
C47,95.10624,-26.643753,141.13126,85.04749
D12,75.987495,-63.54375,141.13126,85.04749
R85,56.894997,-65.995,141.13126,85.04749
C75,27.715004,-100.1,141.13126,85.04749
C73,12.375008,-96.38875,141.13126,85.04749
C74,28.818748,-88.74,141.13126,85.04749
R101,36.536247,-86.25125,141.13126,85.04749
C72,16.2425,-88.79625,141.13126,85.04749
C205,30.2425,-48.19375,141.13126,85.04749
C44,78.63749,-36.950005,141.13126,85.04749
C49,87.44126,-36.8125,141.13126,85.04749
C202,101.451256,-5.0537415,141.13126,85.04749
R25,97.65252,-5.137497,141.13126,85.04749
R24,93.77752,-5.043747,141.13126,85.04749
D2,82.424995,-5.038742,141.13126,85.04749
D3,82.424995,-5.038742,141.13126,85.04749
C20,45.811256,10.266243,141.13126,85.04749
C14,55.67124,29.313744,141.13126,85.04749
C18,16.346245,23.02375,141.13126,85.04749
C1,47.011253,96.6675,141.13126,85.04749
IC2,52.033745,81.31501,52.04374,91.48374
IC1,21.441246,76.43,36.761253,89.06124
R-XR1,7.3650055,-31.57,36.761253,89.06124
R1,7.3650055,-31.57,47.011253,96.6675
